Date,Time,Chamber Temperature (°C),dT (µV),Wet Bulb Depression (µV),Corrected Water Potential (MPa),Intercept,Slope,EDBO,Correction for dT (MPa),Correction Factor,Internal Battery Voltage (V),Internal Battery Temperature (°C),External Power Supply Present,External Power Supply Voltage (V),External Power Supply Current (mA),Diagnostic Comment
23/08/2019,16:00:00,30.36,-10.495,-0.103,-1.17,0.71,-4.01,-0.464,-1.37,8.014,4.19,45.5,present ,20.03,63.3,
23/08/2019,16:15:00,30.13,-2.477,0.139,-0.17,0.71,-4.01,-0.824,-0.32,8.021,4.19,43.7,present ,20.06,36,
23/08/2019,16:30:00,30.28,-1.32,0.157,-0.03,0.71,-4.01,-0.141,-0.17,8.017,4.19,41.8,present ,20.04,32.4,
23/08/2019,16:45:00,29.15,-0.392,0,0,0.71,-4.01,0.323,-0.05,8.055,4.19,38.8,present ,20.03,32.09,
23/08/2019,17:00:00,28.34,-0.129,0,0,0.71,-4.01,0.049,-0.01,8.082,4.19,36.2,present ,20.03,31.8,
23/08/2019,17:15:00,28.15,-0.601,1.488,-0.24,0.71,-4.01,-0.164,-0.07,8.088,4.19,34.8,present ,20.03,31.8,
23/08/2019,17:30:00,28.06,-0.456,3.634,-0.72,0.71,-4.01,-0.115,-0.06,8.093,4.19,34,present ,20.03,31.5,
23/08/2019,17:45:00,28.94,-3.54,7.293,-1.93,0.71,-4.01,-1.45,-0.46,8.062,4.19,34.8,present ,20.04,32.7,
23/08/2019,18:00:00,29.9,-1.769,12.391,-2.78,0.71,-4.01,-0.739,-0.23,8.028,4.19,36.8,present ,20.04,33,
23/08/2019,18:15:00,30.78,-2.635,17.414,-3.92,0.71,-4.01,-0.996,-0.34,8,4.19,37.8,present ,20.04,32.7,
23/08/2019,18:30:00,30.43,-1.454,20.849,-4.54,0.71,-4.01,-0.505,-0.19,8.01,4.19,37.3,present ,20.04,32.4,
23/08/2019,18:45:00,29.55,-0.2,22.506,-4.84,0.71,-4.01,-0.116,-0.02,8.041,4.19,36,present ,20.03,31.8,
23/08/2019,19:00:00,28.73,0.086,23.327,-5.09,0.71,-4.01,0.109,0.01,8.069,4.19,34.8,present ,20.03,31.8,
23/08/2019,19:15:00,27.73,0.393,23.64,-5.26,0.71,-4.01,0.177,0.05,8.102,4.19,33.59,present ,20.03,31.8,
23/08/2019,19:30:00,26.86,0.524,23.705,-5.38,0.71,-4.01,0.14,0.06,8.134,4.19,32.3,present ,20,31.8,
23/08/2019,19:45:00,26.05,0.011,23.423,-5.5,0.71,-4.01,0.125,0,8.161,4.19,31.3,present ,20.03,31.8,
23/08/2019,20:00:00,25.17,0.405,22.833,-5.43,0.71,-4.01,0.258,0.05,8.194,4.19,30.4,present ,20.03,31.5,
23/08/2019,20:15:00,24.86,0.229,22.771,-5.49,0.71,-4.01,0.134,0.03,8.205,4.19,29.9,present ,20.03,31.5,
23/08/2019,20:30:00,24.94,-0.001,22.399,-5.41,0.71,-4.01,-0.006,0,8.201,4.19,29.6,present ,20,31.8,
23/08/2019,20:45:00,25,0.371,22.767,-5.45,0.71,-4.01,0.014,0.04,8.198,4.19,29.5,present ,20,31.8,
23/08/2019,21:00:00,25.05,0.15,22.24,-5.34,0.71,-4.01,0.029,0.02,8.198,4.19,29.2,present ,20,31.8,
23/08/2019,21:15:00,24.8,0.484,21.916,-5.25,0.71,-4.01,0.017,0.06,8.205,4.19,29,present ,20,31.8,
23/08/2019,21:30:00,24.6,0.388,21.639,-5.22,0.71,-4.01,0.143,0.05,8.212,4.19,28.9,present ,20,31.8,
23/08/2019,21:45:00,24.39,0.318,21.578,-5.24,0.71,-4.01,0.087,0.04,8.222,4.19,28.9,present ,20,31.8,
23/08/2019,22:00:00,23.91,0.892,20.806,-5.04,0.71,-4.01,0.23,0.12,8.237,4.19,28.7,present ,20.03,31.8,
23/08/2019,22:15:00,23.46,0.445,20.195,-5.01,0.71,-4.01,0.167,0.06,8.254,4.19,28.2,present ,19.99,31.5,
23/08/2019,22:30:00,22.66,0.258,19.563,-4.99,0.71,-4.01,0.121,0.03,8.283,4.19,27.4,present ,19.99,31.5,
23/08/2019,22:45:01,21.17,0.896,18.036,-4.71,0.71,-4.01,0.432,0.12,8.337,4.19,26.1,present ,19.99,31.2,
23/08/2019,23:00:00,19.92,0.984,17.171,-4.65,0.71,-4.01,0.436,0.13,8.381,4.19,25.6,present ,19.99,31.2,
23/08/2019,23:15:00,19.62,0.523,16.496,-4.56,0.71,-4.01,0.203,0.07,8.392,4.19,25.3,present ,19.99,31.2,
23/08/2019,23:30:00,19.47,0.583,16.228,-4.49,0.71,-4.01,0.145,0.08,8.399,4.19,25.1,present ,19.99,31.5,
23/08/2019,23:45:00,19.12,0.83,15.68,-4.35,0.71,-4.01,0.29,0.11,8.41,4.19,24.8,present ,19.99,31.5,
24/08/2019,0:00:00,18.89,0.452,15.54,-4.4,0.71,-4.01,0.289,0.06,8.421,4.19,24.5,present ,19.99,31.5,
24/08/2019,0:15:00,18.69,0.3,15.126,-4.32,0.71,-4.01,0.08,0.04,8.428,4.19,24.1,present ,19.99,31.2,
24/08/2019,0:30:00,18.55,0.481,14.643,-4.17,0.71,-4.01,0.073,0.06,8.432,4.19,24.1,present ,19.99,31.5,
24/08/2019,0:45:00,18.33,0.41,14.368,-4.13,0.71,-4.01,0.17,0.05,8.439,4.19,24.1,present ,19.99,31.5,
24/08/2019,1:00:00,18.07,0.526,14.224,-4.11,0.71,-4.01,0.05,0.07,8.451,4.19,23.8,present ,19.99,31.2,
24/08/2019,1:15:00,17.98,0.279,13.957,-4.07,0.71,-4.01,0.099,0.03,8.454,4.19,23.4,present ,19.99,31.2,
24/08/2019,1:30:00,18.21,0.028,13.921,-4.06,0.71,-4.01,-0.053,0,8.443,4.19,23.2,present ,19.99,31.5,
24/08/2019,1:45:00,18.7,0.314,14.021,-3.99,0.71,-4.01,0.021,0.04,8.425,4.19,23.2,present ,19.99,31.5,
24/08/2019,2:00:00,18.87,0.273,14.229,-4.03,0.71,-4.01,-0.003,0.03,8.421,4.19,23.2,present ,19.99,31.5,
24/08/2019,2:15:00,18.94,0.358,13.881,-3.91,0.71,-4.01,0.104,0.04,8.417,4.19,23.1,present ,19.99,31.5,
24/08/2019,2:30:00,19.14,0.117,13.972,-3.94,0.71,-4.01,0.023,0.01,8.41,4.19,23,present ,19.99,31.5,
24/08/2019,2:45:00,19.2,0.463,13.862,-3.85,0.71,-4.01,0.115,0.06,8.406,4.19,23.2,present ,19.99,31.5,
24/08/2019,3:00:00,19.29,0.479,13.944,-3.86,0.71,-4.01,0.126,0.06,8.406,4.19,23.3,present ,20,31.8,
24/08/2019,3:15:00,19.28,0.447,13.625,-3.77,0.71,-4.01,0.111,0.06,8.406,4.19,23.4,present ,20,31.8,
24/08/2019,3:30:00,19.33,0.162,13.809,-3.86,0.71,-4.01,0.042,0.02,8.403,4.19,23.3,present ,19.99,31.5,
24/08/2019,3:45:00,19.31,0.339,13.555,-3.76,0.71,-4.01,0.002,0.04,8.403,4.19,23.2,present ,19.99,31.5,
24/08/2019,4:00:00,19.36,0.398,13.257,-3.66,0.71,-4.01,0.136,0.05,8.403,4.19,23.3,present ,19.99,31.5,
24/08/2019,4:15:00,19.47,0.356,13.338,-3.68,0.71,-4.01,0.13,0.04,8.399,4.19,23.5,present ,20,31.8,
24/08/2019,4:30:00,20.34,0.107,13.838,-3.75,0.71,-4.01,-0.143,0.01,8.366,4.19,23.8,present ,19.99,31.5,
24/08/2019,4:45:00,21.12,-0.148,14.127,-3.77,0.71,-4.01,-0.109,-0.02,8.337,4.19,24.4,present ,20,31.8,
24/08/2019,5:00:00,21.26,0.486,14.166,-3.68,0.71,-4.01,0.12,0.06,8.333,4.19,24.6,present ,20,31.8,
24/08/2019,5:15:00,21.18,0.303,13.762,-3.6,0.71,-4.01,0.019,0.04,8.337,4.19,24.8,present ,20,31.8,
24/08/2019,5:30:00,21.14,0.7,13.851,-3.58,0.71,-4.01,0.155,0.09,8.337,4.19,24.8,present ,19.99,31.5,
24/08/2019,5:45:00,21.21,0.567,13.832,-3.58,0.71,-4.01,0.033,0.07,8.333,4.19,24.9,present ,19.99,31.5,
24/08/2019,6:00:00,21.07,0.74,13.61,-3.51,0.71,-4.01,0.172,0.1,8.341,4.19,24.8,present ,19.99,31.5,
24/08/2019,6:15:00,21.23,0.117,13.75,-3.62,0.71,-4.01,0.017,0.01,8.333,4.19,24.9,present ,19.99,31.5,
24/08/2019,6:30:00,21.05,0.921,13.368,-3.42,0.71,-4.01,0.273,0.12,8.341,4.19,24.8,present ,20,31.8,
24/08/2019,6:45:00,21.13,0.883,13.487,-3.45,0.71,-4.01,0.149,0.12,8.337,4.19,25,present ,20,31.8,
24/08/2019,7:00:00,21.49,0.166,13.826,-3.6,0.71,-4.01,-0.113,0.02,8.326,4.19,25.9,present ,20,32.09,
24/08/2019,7:15:00,21.66,0.24,13.867,-3.58,0.71,-4.01,-0.185,0.03,8.319,4.19,27.5,present ,20,32.09,
24/08/2019,7:30:00,21.67,0.458,13.997,-3.59,0.71,-4.01,-0.05,0.06,8.319,4.19,28.8,present ,20,32.4,
24/08/2019,7:45:00,22.3,-3.645,14.472,-4.21,0.71,-4.01,-1.462,-0.49,8.294,4.19,30.3,present ,20,32.7,
24/08/2019,8:00:00,22.27,-3.41,14.281,-4.13,0.71,-4.01,-1.375,-0.46,8.297,4.19,31.2,present ,20,32.4,
24/08/2019,8:15:00,23.09,-0.038,14.733,-3.7,0.71,-4.01,-0.036,0,8.269,4.19,31.8,present ,20,32.09,
24/08/2019,8:30:00,23.12,-3.405,14.886,-4.19,0.71,-4.01,-1.106,-0.46,8.265,4.19,31.3,present ,20.03,31.8,
24/08/2019,8:45:00,24.91,-8.01,16.035,-4.9,0.71,-4.01,-3.055,-1.07,8.201,4.19,30.6,present ,20.03,31.5,
